forixId,longDriver,driver,adjustedSurname,surname
1969010300,Michael Schumacher,mschumacher,M Schumacher,Schumacher
1971022400,Pedro de la Rosa,pdelarosa,De La Rosa,De La Rosa
1972052300,Rubens Barrichello,rbarrichello,Barrichello,Barrichello
1974071300,Jarno Trulli,jtrulli,Trulli,Trulli
1976082700,Mark Webber,mwebber,Webber,Webber
1977011400,Narain Karthikeyan,nkarthikeyan,Karthikeyan,Karthikeyan
1977051000,Nick Heidfeld,nheidfeld,Heidfeld,Heidfeld
1979101700,Kimi Raikkonen,kraikkonen,Raikkonen,Raikkonen
1980011900,Jenson Button,jbutton,Button,Button
1980080600,Vitantonio Liuzzi,vliuzzi,Liuzzi,Liuzzi
1981042500,Felipe Massa,fmassa,Massa,Massa
1981072900,Fernando Alonso,falonso,Alonso,Alonso
1981101900,Heikki Kovalainen,hkovalainen,Kovalainen,Kovalainen
1981111900,Andre Lotterer,alotterer,Lotterer,Lotterer
1982031800,Timo Glock,tglock,Glock,Glock
1982070900,Sakon Yamamoto,syamamoto,Yamamoto,Yamamoto
1982102400,Fairuz Fauzy,ffauzy,Fauzy,Fauzy
1982120600,Susie Wolff,swolff,Wolff,Wolff
1983011100,Adrian Sutil,asutil,Sutil,Sutil
1983020700,Christian Klien,cklien,Klien,Klien
1983041500,Bruno Senna,bsenna,Senna,Senna
1984011900,Karun Chandhok,kchandhok,Chandhok,Chandhok
1984081100,Lucas Di Grassi,ldigrassi,Di Grassi,Di Grassi
1984091800,Vitaly Petrov,vpetrov,Petrov,Petrov
1984120700,Robert Kubica,rkubica,Kubica,Kubica
1985010700,Lewis Hamilton,lhamilton,Hamilton,Hamilton
1985012111,Adderly Fong,afong,Fong,Fong
1985030900,Pastor Maldonado,pmaldonado,Maldonado,Maldonado
1985042500,Giedo van der Garde,gvandergarde,Van Der Garde,Van Der Garde
1985062700,Nico Rosberg,nrosberg,Rosberg,Rosberg
1985122500,Ma Qing Hua,mhua,Qing Hua,Qing Hua
1985122700,Jerome DAmbrosio,jdambrosio,DAmbrosio,DAmbrosio
1986041600,Paul Di Resta,pdiresta,Di Resta,Di Resta
1986041700,Romain Grosjean,rgrosjean,Grosjean,Grosjean
1986051400,Rodolfo Gonzalez,rgonzalez,Gonzalez,Gonzalez
1986091300,Kamui Kobayashi,kkobayashi,Kobayashi,Kobayashi
1987010155,Brendon Hartley,bhartley,Hartley,Hartley
1987012400,Davide Valsecchi,dvalsecchi,Valsecchi,Valsecchi
1987070300,Sebastian Vettel,svettel,Vettel,Vettel
1987071700,Jan Charouz,jcharouz,Charouz,Charouz
1987081900,Nico Hulkenberg,nhulkenberg,Hulkenberg,Hulkenberg
1988010254,Roberto Merhi,rmehri,Merhi,Merhi
1988102300,Daniel Clos,dclos,Clos,Clos
1988103100,Sebastien Buemi,sbuemi,Buemi,Buemi
1989010401,Luiz Razia,lrazia,Razia,Razia
1989031300,Robert Wickens,rwickens,Wickens,Wickens
1989041700,Fabio Leimer,fleimer,leimer,leimer
1989061300,James Calado,jcalado,Calado,Calado
1989070100,Daniel Ricciardo,dricciardo,Ricciardo,Ricciardo
1989080302,Jules Bianchi,jbianchi,Bianchi,Bianchi
1989082800,Valtteri Bottas,vbottas,Bottas,Bottas
1989122600,Sergio Perez,sperez,Perez,Perez
1990015114,Jolyon Palmer,jpalmer,Palmer,Palmer
1990015330,Rio Haryanto,rharyanto,Haryanto,Haryanto
1990015475,Luiz Felipe Nasr,lnasr,Nasr,Nasr
1990015628,Will Stevens,wstevens,Stevens,Stevens
1990021500,Charles Pic,cpic,Pic,Pic
1990032300,Jaime Alguersuari,jalguersuari,Alguersuari,Alguersuari
1990042500,JeanEric Vergne,jvergne,Vergne,Vergne
1990090200,Marcus Ericsson,mericsson,Ericsson,Ericsson
1991042100,Max Chilton,mchilton,Chilton,Chilton
1991050700,Daniel Juncadella,djuncadella,Juncadella,Juncadella
1991080500,Esteban Gutierrez,egutierrez,Gutierrez,Gutierrez
1991080701,Robin Frijns,rfrijns,Frijns,Frijns
1991092500,Alexander Rossi,arossi,Rossi,Rossi
1992032600,Stoffel Vandoorne,svandoorne,Vandoorne,Vandoorne
1992100500,Kevin Magnussen,kmagnussen,Magnussen,Magnussen
1993015229,Sergey Sirotkin,ssirotkin,Sirotkin,Sirotkin
1993015230,Jordan King,jking,King,King
1993121400,Antonio Giovinazzi,agiovinazzi,Giovinazzi,Giovinazzi
1994042600,Daniil Kvyat,dkvyat,Kvyat,Kvyat
1994090100,Carlos Sainz,csainz,Sainz,Sainz
1994101800,Pascal Wehrlein,pwehrlein,Wehrlein,Wehrlein
1994121700,Rafael Marciello,rmarciello,Marciello,Marciello
1996020700,Pierre Gasly,pgasly,Gasly,Gasly
1996091700,Esteban Ocon,eocon,Ocon,Ocon
1996091800,Alfonso Celis,acelis,Celis,Celis
1996110100,Sean Gelael,sgelael,Gelael,Gelael
1997093000,Max Verstappen,mverstappen,Verstappen,Verstappen
1998021500,George Russell,grussell,Russell,Russell
1997101600,Charles Leclerc,cleclerc,Leclerc,Leclerc
1998102900,Lance Stroll,lstroll,Stroll,Stroll
1995062900,Nicholas Latifi,nlatifi,Latifi,Latifi
2000015105,Lando Norris,lnorris,Norris,Norris
1994091000,Artem Markelov,amarkelov,Markelov,Markelov
1996032300,Alexander Albon,aalbon,Albon,Albon
1988071102,Naoki Yamamoto,nyamamoto,Yamamoto,N Yamamoto
