rName, colName, colType
rawDataStatus, race, col_character()
rawDataStatus, fetched, col_logical()
rawDataStatus, augmented, col_logical()
rawDataStatus, writtenToDatabase, col_logical()
yearGuide, year, col_integer()
yearGuide, haveGapsChart, col_logical()
yearGuide, haveArchivedLapTimeCsv, col_logical()
yearGuide, yellowCircleForPitStopPenalty, col_logical()
yearGuide, couldChangeTyresAndServePenalty, col_logical()
driverAbbreviation, forixId, col_character()
driverAbbreviation, longDriver, col_character()
driverAbbreviation, driver, col_character()
driverAbbreviation, adjustedSurname, col_character()
gapChartAbbreviation,race, col_character()
gapChartAbbreviation,driver, col_character()
gapChartAbbreviation,TLA, col_character()
raceDF, date," col_date(format = """")"
raceDF, country, col_character()
raceDF, circuit, col_character()
raceDF, perim, col_integer()
raceDF, nlap, col_integer()
raceDF, totalDistance, col_double()
raceDF, htmlName, col_integer()
raceDF, race, col_character()
entryDF, number, col_integer()
entryDF, driver, col_character()
entryDF, forixId, col_integer()
entryDF, car, col_character()
entryDF, tyre, col_character()
entryDF, startingGrid, col_integer()
entryDF, lap, col_integer()
entryDF, classification, col_character()
entryDF, officialFinPos, col_integer()
entryDF, q1, col_double()
entryDF, q2, col_double()
entryDF, q3, col_double()
lapTimeDF, lap, col_integer()
lapTimeDF, driver, col_character()
lapTimeDF, sec, col_double()
tyreOverride, race, col_character()
tyreOverride, driver, col_character()
tyreOverride, tlist, col_character()
pitStopDF, driver, col_character()
pitStopDF, lap, col_integer()
pitStopDF, time, col_double()
pitStopDF, isRedFlagStop, col_logical()
pitStopDF, penalty, col_logical()
pitStopDF, tyre, col_character()
pitStopDF, UN, col_character()
pitStopDF, replaceTyre, col_logical()
pitStopCorrection, race, col_character()
pitStopCorrection, driver, col_character()
pitStopCorrection, lap, col_integer()
pitStopCorrection, time, col_integer()
pitStopCorrection, penalty, col_logical()
pitStopCorrection, insertOrReplace, col_character()
suspiciouslyFastPitLap, race, col_character()
suspiciouslyFastPitLap, driver, col_character()
suspiciouslyFastPitLap, lap, col_integer()
suspiciouslyFastPitLap, isOK, col_logical()
wetQualifyingSessionDF, race, col_character()
wetQualifyingSessionDF, session, col_integer()
abandonedQualifyingSessionDF, race, col_character()
abandonedQualifyingSessionDF, session, col_integer()
safetyCarDF, inOut, col_character()
safetyCarDF, timeElapsed, col_double()
wetPeriodDF, startEnd, col_character()
wetPeriodDF, timeElapsed, col_double()
redFlagDF, race, col_character()
redFlagDF, lap, col_integer()
redFlagDF, driver, col_character()
teamNameMapDF, team, col_character()
teamNameMapDF, startYear, col_integer()
teamNameMapDF, endYear, col_integer()
teamNameMapDF, aaTeam, col_character()
modelColumnDetail, table, col_character()
modelColumnDetail, modelStage, col_character()
modelColumnDetail, column, col_character()
modelColumnDetail, type, col_character()
modelColumnDetail, initialStatus, col_character()
oldSmoothing, qrtofit, col_character()
oldSmoothing, qrtopredict, col_character()
oldSmoothing, modelchoice, col_character()
oldSmoothing, usestretch, col_logical()
oldSmoothing, fwbw, col_character()
oldSmoothing, sqdiff, col_double()
oldSmoothing, smoothparam, col_character()
oldSmoothing, maxtheta, col_character()
smoothing, qrToFit, col_character()
smoothing, qrToPredict, col_character()
smoothing, modelChoice, col_character()
smoothing, useStretch, col_logical()
smoothing, fwbw, col_character()
smoothing, sqDiff, col_double()
smoothing, smoothCoef, col_character()
smoothing, maxTheta, col_character()
pitTimeOverride, race, col_character()
pitTimeOverride, inlapLoss, col_double()
pitTimeOverride, outlapLoss, col_double()
pitTimeOverride, medianPitStopTime, col_double()
pitTimeOverride, notPitTime, col_double()
carProblem, race, col_character()
carProblem, driver, col_character()
carProblem, startLap, col_integer()
carProblem, endLap, col_integer()
carProblem, explanation, col_character()
pitStopTimeingLineCorrection, race, col_character()
pitStopTimeingLineCorrection, driver, col_character()
pitStopTimeingLineCorrection, inlapAddition, col_double()
checkedInterruptedStint,driver,col_character()
checkedInterruptedStint,stint,col_integer()
checkedInterruptedStint,interrupt,col_logical()
guessedPitStop,driver,col_character()
guessedPitStop,vantageStint,col_integer()
guessedPitStop,lap,col_integer()
guessedPitStop,newTyre,col_character()
alternativeStrategy,driver,col_character()
alternativeStrategy,vantageStartLap,col_integer()
alternativeStrategy,vantageEndLap,col_integer()
alternativeStrategy,inlap,col_integer()
alternativeStrategy,newTyre,col_character()
circuitDisambiguation,startYear,col_integer()
circuitDisambiguation,endYear,col_integer()
circuitDisambiguation,currentName,col_character()
circuitDisambiguation,newName,col_character()
prettyName,type,col_character()
prettyName,codeName,col_character()
prettyName,prettyName,col_character()
tyre,tyre,col_character()
tyre,hardness,col_integer()
tyre,colour,col_character()
teamColour,year,col_integer()
teamColour,team,col_character()
teamColour,panel,col_character()
teamColour,scheme,col_character()
teamColour,outlier,col_character()
teamColour,outlierText,col_character()
teamColour,corrected,col_character()
teamColour,pitStop,col_character()
teamColour,safetyCar,col_character()
teamColour,blocked,col_character()
