year,forixHasGapsChart, haveGapsChart, haveArchivedLapTimeCsv,yellowCircleForPitStopPenalty,couldChangeTyresAndServePenalty,forixAddsRedFlagPitStops
2010,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2011,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
2012,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2013,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2014,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2015,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2016,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2017,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2018,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2019,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2020,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
