"rdate","country","circuit","perim","nlap","totdist","racename"
"20140316","australia","melbourne","5303","57","302.271","2014australia"
"20140330","malaysia","sepang","5543","56","310.408","2014malaysia"
"20140406","bahrain","bahrain","5412","57","308.238","2014bahrain"
"20140420","china","shanghai","5451","54","294.164","2014china"
"20140511","spain","catalunya","4655","66","307.104","2014spain"
"20140525","monaco","monte carlo","3340","78","260.520","2014monaco"
"20140608","canada","montreal","4361","70","305.270","2014canada"
"20140622","austria","red bull ring","4326","71","307.020","2014austria"
"20140706","great britain","silverstone","5891","52","306.198","2014greatbritain"
"20140720","germany","hockenheim","4574","67","306.458","2014germany"
"20140727","hungary","hungaroring","4381","70","306.630","2014hungary"
"20140824","belgium","spa francorchamps","7004","44","308.052","2014belgium"
"20140907","italy","monza","5793","53","306.720","2014italy"
"20140921","singapore","marina bay","5065","60","303.763","2014singapore"
"20141005","japan","suzuka","5807","44","255.208","2014japan"
"20141012","russia","sochi","5848","53","309.745","2014russia"
"20141102","usa","americas","5513","56","308.405","2014usa"
"20141109","brazil","interlagos","4309","71","305.909","2014brazil"
"20141123","abu dhabi","yas marina","5554","55","305.355","2014abudhabi"
