"racename","modqualqualintercept"
"2010bahrain",117.417
"2010australia",86.735
"2010malaysia",NA
"2010china",96.806
"2010spain",82.608
"2010monaco",75.902
"2010turkey",88.587
"2010canada",76.95
"2010europe",99.58
"2010greatbritain",92.427
"2010germany",76.196
"2010hungary",82.33
"2010belgium",108.168
"2010italy",84.15
"2010singapore",108.459
"2010japan",92.971
"2010korea",98.299
"2010brazil",NA
"2010abudhabi",101.805
"2011australia",87.418
"2011malaysia",97.604
"2011china",96.777
"2011turkey",87.559
"2011spain",83.932
"2011monaco",76.747
"2011canada",75.218
"2011europe",99.788
"2011greatbritain",93.251
"2011germany",93.357
"2011hungary",82.661
"2011belgium",NA
"2011italy",85.241
"2011singapore",108.012
"2011japan",92.996
"2011korea",99.042
"2011india",87.013
"2011abudhabi",101.545
"2011brazil",74.364
"2012australia",86.91
"2012malaysia",97.89
"2012china",97.058
"2012bahrain",93.944
"2012spain",83.555
"2012monaco",75.771
"2012canada",75.365
"2012europe",99.64
"2012greatbritain",NA
"2012germany",76.837
"2012hungary",82.854
"2012belgium",109.437
"2012italy",85.374
"2012singapore",108.498
"2012japan",92.907
"2012korea",98.91
"2012india",87.105
"2012abudhabi",102.42
"2012usa",98.234
"2012brazil",74.034
"2013australia",89.378
"2013malaysia",97.534
"2013china",96.073
"2013bahrain",93.745
"2013spain",82.074
"2013monaco",75.393
"2013canada",NA
"2013greatbritain",91.428
"2013germany",91.169
"2013hungary",81.026
"2013belgium",NA
"2013italy",84.824
"2013singapore",104.647
"2013korea",98.674
"2013japan",92.068
"2013india",86.018
"2013abudhabi",101.259
"2013usa",98.182
"2013brazil",NA
"2014australia",93.239
"2014malaysia",NA
"2014bahrain",95.188
"2014china",NA
"2014spain",87.539
"2014monaco",78.047
"2014canada",76.544
"2014austria",70.224
"2014greatbritain",NA
"2014germany",78.271
"2014hungary",85.007
"2014belgium",NA
"2014italy",86.09
"2014singapore",107.337
"2014japan",94.929
"2014russia",100.511
"2014usa",98.449
"2014brazil",71.664
"2014abudhabi",102.534
"2015australia",89.299
"2015malaysia",100.982
"2015china",98.382
"2015bahrain",94.831
"2015spain",87.407
"2015monaco",77.292
"2015canada",76.28
"2015austria",70.281
"2015greatbritain",94.387
"2015hungary",84.259
"2015belgium",109.617
"2015italy",85.56
"2015singapore",106.588
"2015japan",94.53
"2015russia",99.646
"2015usa",NA
"2015mexico",81.257
"2015brazil",73.154
"2015abudhabi",102.602
"2016australia",86.289
"2016bahrain",91.737
"2016china",97.437
"2016russia",97.47
"2016spain",83.933
"2016monaco",75.355
"2016canada",74.257
"2016europe",105.036
"2016austria",67.365
"2016greatbritain",92.005
"2016hungary",NA
"2016germany",75.816
"2016belgium",108.127
"2016italy",83.035
"2016singapore",104.866
"2016malaysia",94.707
"2016japan",92.213
"2016usa",97.321
"2016mexico",80.384
"2016brazil",72.249
"2016abudhabi",101.052
"2017australia",84.576
"2017china",93.872
"2017bahrain",90.723
"2017russia",95.633
"2017spain",81.024
"2017monaco",73.572
"2017canada",73.328
"2017azerbaijan",103.072
"2017austria",65.765
"2017greatbritain",89.327
"2017hungary",78.095
"2017belgium",105.178
"2017italy",NA
"2017singapore",102.107
"2017malaysia",91.726
"2017japan",89.738
"2017usa",95.118
"2017mexico",78.014
"2017brazil",69.742
"2017abudhabi",98.596
"2018australia",83.374
"2018bahrain",89.596
"2018china",92.774
"2018azerbaijan",103.022
"2018spain",77.882
"2018monaco",71.977
"2018canada",72.201
"2018france",92.285
"2018austria",64.485
"2018greatbritain",87.583
"2018germany",72.538
"2018hungary",NA
"2018belgium",103.786
"2018italy",80.888
"2018singapore",98.322
"2018russia",93.735
"2018japan",89.859
"2018usa",93.965
"2018mexico",76.104
"2018brazil",68.56
"2018abudhabi",96.457
